## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,32.000000,32.000000,Results,0.999200,0.000799,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000800,0.000800
Dist,1.000000,0.999200,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,280.000000,280.000000,Results,0.993024,0.006927,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.006976,0.006976
Dist,1.000000,0.993024,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,1200.000000,1200.000000,Results,0.970441,0.028685,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.029559,0.029559
Dist,1.000000,0.970441,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,2480.000000,2480.000000,Results,0.939747,0.056622,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.060253,0.060253
Dist,1.000000,0.939747,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,5240.000000,5240.000000,Results,0.874056,0.110082,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.125944,0.125944
Dist,1.000000,0.874056,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,Relaibility,10520.000000,10520.000000,Results,0.733296,0.195573,2
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.266704,0.266704
Dist,1.000000,0.733296,1.000000

